date,equity,num_positions,invested,market_open,stopped_out
2026-06-07,,0,,,
2026-06-08,107421.21,1,META,1.0,
2026-06-09,107296.81,1,META,1.0,
2026-06-10,106878.87,1,META,1.0,
2026-06-11,106467.57,1,META,1.0,
2026-06-12,106522.07,2,META;AMZN,1.0,
2026-06-15,107778.26,1,AMZN,1.0,
2026-06-16,107722.71,2,AMZN;XOM,1.0,
2026-06-17,106980.74,4,AMZN;XOM;NVDA;MSFT,1.0,
2026-06-18,106746.5,5,AMZN;MSFT;META;XOM;AAPL,1.0,
2026-06-19,106801.62,3,XOM;AMZN;UNH,0.0,
2026-06-22,104918.58,3,XOM;MSFT;AMZN,1.0,
2026-06-23,105428.82,5,AMZN;MSFT;UNH;META;XOM,1.0,
2026-06-24,105378.77,2,XOM;MSFT,1.0,
2026-06-25,104027.57,5,XOM;AMZN;META;GOOGL;MSFT,1.0,MSFT
2026-06-26,104500.59,3,NVDA;GOOGL;AMZN,1.0,
2026-06-29,106245.92,2,XOM;NVDA,1.0,
2026-06-30,106605.0,1,XOM,1.0,
2026-07-01,106747.13,1,WMT,1.0,
2026-07-02,107675.03,3,GOOGL;NVDA;UNH,1.0,
2026-07-03,108055.89,3,GOOGL;NVDA;AMZN,0.0,
2026-07-06,108106.5,2,NVDA;WMT,1.0,
2026-07-07,108665.18,2,NVDA;WMT,1.0,
2026-07-08,109345.24,3,NVDA;UNH;GOOGL,1.0,
2026-07-09,109498.97,2,WMT;NVDA,1.0,
2026-07-10,110888.23,1,GOOGL,1.0,
2026-07-13,110894.49,0,,1.0,
2026-07-14,110892.9,1,GOOGL,1.0,
2026-07-15,112205.86,0,,1.0,
2026-07-16,112203.1,0,,1.0,
2026-07-17,112203.1,1,UNH,1.0,
2026-07-20,111609.0,2,TSLA;UNH,1.0,
2026-07-21,112698.79,1,WMT,1.0,
2026-07-22,112341.96,5,UNH;WMT;TSLA;PG;GOOGL,1.0,
2026-07-23,106496.03,3,TSLA;WMT;GOOGL,1.0,GOOGL;TSLA
2026-07-27,107313.86,2,TSLA;AMZN,1.0,
2026-07-28,107180.72,1,TSLA,1.0,
2026-07-29,106663.83,3,GOOGL;AMZN;TSLA,1.0,
2026-07-30,108479.42,0,,1.0,
2026-07-31,108480.88,0,,1.0,
2026-08-03,108480.88,0,,1.0,
2026-08-04,108480.88,2,WMT;UNH,1.0,
2026-08-05,109262.88,1,WMT,1.0,
2026-08-07,109143.53,3,MSFT;TSLA;META,1.0,
2026-08-10,109369.98,0,,1.0,
2026-08-11,109362.88,1,MSFT,1.0,
2026-08-12,108894.22,3,MSFT;TSLA;META,1.0,
2026-08-13,110022.04,1,TSLA,1.0,
2026-08-14,110326.4,0,,1.0,
2026-08-17,110320.27,2,TSLA;META,1.0,
2026-08-18,108835.14,1,META,1.0,
2026-08-19,108597.48,1,META,1.0,
2026-08-20,108407.32,3,MSFT;META;XOM,1.0,
2026-08-21,108689.85,2,GOOGL;META,1.0,
2026-08-24,109347.19,4,META;TSLA;WMT;MSFT,1.0,
